Symbol,Symbol,Security,GICS_Sector,GICS_Sub_Industry,latestPrice,lastweekPrice,week52High,pct_change1D,pct_change1W,pct_changeFrom1YHigh
A,A,Agilent Technologies Inc,Health Care,Health Care Equipment,83.17,82.56,90.64,-0.01945,0.007388565891472965,-0.08241394527802293
AAL,AAL,American Airlines Group,Industrials,Airlines,28.395,26.84,37.17,0.00336,0.057935916542473986,-0.23607748184019373
AAP,AAP,Advance Auto Parts,Consumer Discretionary,Automotive Retail,132.93,131.75,182.56,-0.01072,0.008956356736242954,-0.27185582822085885
AAPL,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",320.03,309.51,327.85,-0.01359,0.03398920874931344,-0.023852371511362103
ABBV,ABBV,AbbVie Inc.,Health Care,Pharmaceuticals,92.29,81.02,92.29,0.05861,0.13910145643051108,0.0
ABC,ABC,AmerisourceBergen Corp,Health Care,Health Care Distributors,91.94,85.56,94.75,-0.00584,0.07456755493221134,-0.02965699208443273
ABMD,ABMD,ABIOMED Inc,Health Care,Health Care Equipment,186.92,186.29,364.31,-0.04638,0.003381824037790526,-0.48692047981114983
ABT,ABT,Abbott Laboratories,Health Care,Health Care Equipment,87.87,87.14,92.45,-0.01788,0.008377323846683549,-0.04954029204975663
ACN,ACN,Accenture plc,Information Technology,IT Consulting & Other Services,211.58,205.21,214.46,-0.01205,0.031041372252814226,-0.013429077683484114
ADBE,ADBE,Adobe Systems Inc,Information Technology,Application Software,366.12,351.14,374.48,-0.00365,0.04266104687589012,-0.022324289681691978
ADI,ADI,"Analog Devices, Inc.",Information Technology,Semiconductors,112.29,109.75,124.79,-0.03023,0.023143507972665178,-0.10016828271496114
ADM,ADM,Archer-Daniels-Midland Co,Consumer Staples,Agricultural Products,45.71,44.76,47.2,-0.00587,0.02122430741733705,-0.03156779661016951
ADP,ADP,Automatic Data Processing,Information Technology,Internet Services & Infrastructure,179.15,171.39,180.47,-0.00616,0.04527685395880754,-0.007314235052917395
ADS,ADS,Alliance Data Systems,Information Technology,Data Processing & Outsourced Services,105.92,102.79,182.95,-0.00545,0.0304504329214903,-0.42104400109319484
